ward_name,forecast,tier,officers_per_shift,month_num
Twickenham Riverside Ward,5.0741167,Low,3,1
Chadwell Ward,5.0685296,Low,3,1
Northolt West End Ward,5.0670633,Low,3,1
Grange Park Ward,5.0269203,Low,3,1
Hampton North Ward,5.019272,Low,3,1
Barkingside Ward,5.0159717,Low,3,1
Crayford Ward,5.01531,Low,3,1
Hampstead Town Ward,5.008571,Low,3,1
Hampton Wick & South Teddington Ward,4.975034,Low,3,1
Surbiton Hill Ward,4.9576106,Low,3,1
Stockwell East Ward,4.9464025,Low,3,1
Havering-atte-Bower Ward,4.94319,Low,3,1
Kingston Gate Ward,4.9398417,Low,3,1
Cranbrook Ward,4.937474,Low,3,1
Kingsbury Ward,4.930749,Low,3,1
St. Alban's Ward,4.91692,Low,3,1
Canning Town South Ward,4.9159613,Low,3,1
Mayesbrook Ward,4.9055815,Low,3,1
Squirrels Heath Ward,4.904122,Low,3,1
Crystal Palace & Upper Norwood Ward,4.891963,Low,3,1
Sidcup Ward,4.879981,Low,3,1
Fullwell Ward,4.837741,Low,3,1
Trinity Ward,4.8164597,Low,3,1
Hermitage & Gardens Ward,4.797565,Low,3,1
Primrose Hill Ward,4.7971916,Low,3,1
Eltham Town & Avery Hill Ward,4.7955914,Low,3,1
Wimbledon Town & Dundonald Ward,4.7953753,Low,3,1
St. Ann's Ward,4.789984,Low,3,1
West Thamesmead Ward,4.787947,Low,3,1
Graveney Ward,4.768603,Low,3,1
Wealdstone North Ward,4.761162,Low,3,1
Marshalls & Rise Park Ward,4.7403803,Low,3,1
Woolwich Dockyard Ward,4.7385635,Low,3,1
Hylands & Harrow Lodge Ward,4.719493,Low,3,1
Colliers Wood Ward,4.7194605,Low,3,1
Addison Ward,4.7000256,Low,3,1
Hanworth Park Ward,4.6879635,Low,3,1
Kidbrooke Park Ward,4.682829,Low,3,1
Harrow on the Hill Ward,4.6741843,Low,3,1
Shooters Hill Ward,4.663336,Low,3,1
Norbury & Pollards Hill Ward,4.6217766,Low,3,1
Grove Ward,4.588353,Low,3,1
Avonmore Ward,4.5644765,Low,3,1
Dulwich Village Ward,4.5559716,Low,3,1
Walham Green Ward,4.5507507,Low,3,1
South Twickenham Ward,4.5463533,Low,3,1
