ward,month,pred1,actual,pred2,abs_diff,rel_diff_pct
Ealing Common,10,8.229933,8.0,10.659011367272656,2.4290783672726555,25.71957775979607
Ealing Common,11,8.291335,10.0,10.659011367272656,2.367676367272656,24.988212050431382
Ealing Common,11,8.291335,10.0,10.659011367272656,2.367676367272656,24.988212050431382
Ealing Common,12,8.291877,5.0,10.659011367272656,2.367134367272657,24.981777333041475
Ealing Common,12,8.291877,5.0,10.659011367272656,2.367134367272657,24.981777333041475
Earl's Court,1,7.0329986,7.0,9.481824878748986,2.448826278748986,29.656099950448723
Earl's Court,1,7.0329986,7.0,9.481824906215811,2.4488263062158113,29.656100233758202
Earl's Court,2,6.726357,9.0,9.481824901034967,2.755467901034967,34.000949864204294
Earl's Court,2,6.726357,9.0,9.481824906215811,2.755467906215811,34.00094991726485
Earl's Court,3,6.7428637,7.0,9.481824905238591,2.738961205238591,33.76288164142937
Earl's Court,3,6.7428637,7.0,9.481824906215811,2.7389612062158113,33.7628816514419
Earl's Court,4,6.443983,2.0,9.390942217555017,2.9469592175550163,37.22100580920886
Earl's Court,4,6.443983,2.0,9.481824906031486,3.0378419060314856,38.14992525284676
Earl's Court,5,6.387938,8.0,9.464682448464748,3.0767444484647477,38.816856285267534
Earl's Court,5,6.387938,8.0,9.481824906181044,3.0938869061810443,38.990965705934016
Earl's Court,6,6.387938,20.0,9.478591464709211,3.090653464709211,38.95815366030146
Earl's Court,6,6.387938,20.0,9.481824906209251,3.093886906209251,38.990965706220194
Earl's Court,7,6.4441614,7.0,9.48121500860787,3.037053608607871,38.14105903288169
Earl's Court,7,6.4441614,7.0,9.481824906214577,3.037663506214577,38.147257542589145
Earl's Court,8,6.562633,6.0,9.481709866221609,2.9190768662216087,36.38761513090304
Earl's Court,8,6.562633,6.0,9.48182490621558,2.9191919062155804,36.388788244253405
Earl's Court,9,6.5935044,12.0,9.481803207163226,2.8882988071632267,35.934600789551155
