ward,mae,rmse,smape,mase
Rye Lane,3.5878452339081015,4.1881502685407295,24.16028438883231,0.8123423171112683
Sanderstead,2.4350610661421106,2.8568264505306376,59.20689138250923,0.9426042836679137
Sands End,2.2065154771460516,2.746962800657365,42.98097627668516,0.7156266412365573
Selhurst,3.143522711204787,4.155398897695167,43.22732922304348,0.6736120095438829
Selsdon & Addington Village,2.6379308156292245,3.619699674318396,68.45405966619839,0.7361667392453649
Selsdon Vale & Forestdale,1.6543582138739943,1.9618849101290345,83.60305837685937,0.7940919426595172
Seven Kings,2.9008724108037476,3.955344093234822,49.24903858802024,0.7567493245574993
Seven Sisters,2.3434512865503376,3.066145090437491,43.488106191243475,0.6113351182305229
Shacklewell,2.3990658980600554,2.8077485965033055,38.08016844309238,0.9596263592240222
Shadwell,2.6119082229128607,3.1025350202719184,43.680243209465225,0.7835724668738582
Shaftesbury & Queenstown,2.4849744173152164,3.0065378245104637,47.17314454268297,1.1469112695301
Shenley,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Shepherd's Bush Green,2.9466881897114816,3.660319498873943,42.22751593875958,0.7366720474278704
Shildon and Dene Valley,0.0,0.0,0.0,
Shirley North,1.7645400297776568,2.157973870136682,52.01673851317633,0.6416509199191479
Shirley South,1.8436080127723713,2.1253870759812665,81.0139057598786,1.3013703619569679
Shooters Hill,1.3632469442401405,1.664055745482557,42.54896044868497,0.7112592752557254
Shortlands & Park Langley,2.842046168196752,3.0613843926078186,66.63868244519449,1.2631316303096676
Sidcup,2.308673674752074,2.783271376369694,54.428999487559395,0.9553132447249962
Singlewell,0.0,0.0,0.0,
Slade Green & Northend,2.187006438416144,2.639843109912873,44.33952283122204,0.7718846253233449
Somerton,0.0,0.0,0.0,
South Acton,4.01696087353669,5.1002528327041,40.400363321029765,0.6427137397658704
South Balham,1.9200290164288585,2.2866512609402947,41.045214751591004,0.794494765418838
South Beddington & Roundshaw,1.4937908627108427,1.8709685810454475,40.086645773273275,0.6401960840189326
