ward,month,forecast
Barnehurst,2025-08-01,1.5519847613684525
Barnehurst,2025-09-01,1.5520208012040833
Barnehurst,2025-10-01,1.5520262199618247
Barnehurst,2025-11-01,1.552027034697379
Barnehurst,2025-12-01,1.5520271571966777
Barnehurst,2026-01-01,1.55202717561502
Barnehurst,2026-02-01,1.5520271783843038
Barnehurst,2026-03-01,1.5520271788006785
Barnes,2025-04-01,4.386848209103745
Barnes,2025-05-01,5.15703739990981
Barnes,2025-06-01,5.332182949108035
Barnes,2025-07-01,5.372012076509633
Barnes,2025-08-01,5.381069454198274
Barnes,2025-09-01,5.3831291551243705
Barnes,2025-10-01,5.383597543221986
Barnes,2025-11-01,5.383704057428591
Barnes,2025-12-01,5.383728279385268
Barnes,2026-01-01,5.383733787600595
Barnes,2026-02-01,5.383735040201137
Barnes,2026-03-01,5.383735325049863
Barnet Vale,2025-04-01,8.991918977171945
Barnet Vale,2025-05-01,8.363562930254373
Barnet Vale,2025-06-01,8.122936624367686
Barnet Vale,2025-07-01,7.869439741463443
Barnet Vale,2025-08-01,6.382591004389032
Barnet Vale,2025-09-01,7.718720084000649
Barnet Vale,2025-10-01,8.06970546608476
Barnet Vale,2025-11-01,7.953936715934127
Barnet Vale,2025-12-01,10.103541606674987
Barnet Vale,2026-01-01,7.593075684570106
Barnet Vale,2026-02-01,7.318269769720773
Barnet Vale,2026-03-01,8.020011195711804
Barnhill,2025-04-01,4.702790476299349
Barnhill,2025-05-01,4.536251138433996
Barnhill,2025-06-01,4.7599576865235145
Barnhill,2025-07-01,4.168092420133751
Barnhill,2025-08-01,4.501154139111698
Barnhill,2025-09-01,3.8091361958585184
Barnhill,2025-10-01,4.839339927370665
Barnhill,2025-11-01,4.510420025285466
Barnhill,2025-12-01,4.475609602966034
Barnhill,2026-01-01,5.216941766801286
Barnhill,2026-02-01,4.892237743552975
Barnhill,2026-03-01,4.8606397043001195
Barnsbury,2025-04-01,8.372598825362678
Barnsbury,2025-05-01,8.746072233692956
Barnsbury,2025-06-01,8.012695651360726
Barnsbury,2025-07-01,7.890031839022589
Barnsbury,2025-08-01,7.616471869340205
Barnsbury,2025-09-01,8.32458935820423
Barnsbury,2025-10-01,7.492754954834972
Barnsbury,2025-11-01,8.193253677868725
Barnsbury,2025-12-01,7.504636095635446
Barnsbury,2026-01-01,8.35743482716044
Barnsbury,2026-02-01,8.087277498464006
Barnsbury,2026-03-01,7.930691078922377
Basildon,2025-04-01,0.0
Basildon,2025-05-01,0.0
Basildon,2025-06-01,0.0
Basildon,2025-07-01,0.0
Basildon,2025-08-01,0.0
Basildon,2025-09-01,0.0
Basildon,2025-10-01,0.0
Basildon,2025-11-01,0.0
Basildon,2025-12-01,0.0
Basildon,2026-01-01,0.0
Basildon,2026-02-01,0.0
Basildon,2026-03-01,0.0
Battersea Park,2025-04-01,11.010904035791791
Battersea Park,2025-05-01,11.010904035791791
Battersea Park,2025-06-01,11.010904035791791
Battersea Park,2025-07-01,11.010904035791791
Battersea Park,2025-08-01,11.010904035791791
Battersea Park,2025-09-01,11.010904035791791
Battersea Park,2025-10-01,11.010904035791791
Battersea Park,2025-11-01,11.010904035791791
Battersea Park,2025-12-01,11.010904035791791
Battersea Park,2026-01-01,11.010904035791791
Battersea Park,2026-02-01,11.010904035791791
Battersea Park,2026-03-01,11.010904035791791
Bayswater,2025-04-01,22.90811340051775
Bayswater,2025-05-01,21.340069717323736
Bayswater,2025-06-01,21.340069717323736
Bayswater,2025-07-01,21.340069717323736
Bayswater,2025-08-01,21.340069717323736
Bayswater,2025-09-01,21.340069717323736
Bayswater,2025-10-01,21.340069717323736
Bayswater,2025-11-01,21.340069717323736
Bayswater,2025-12-01,21.340069717323736
Bayswater,2026-01-01,21.340069717323736
Bayswater,2026-02-01,21.340069717323736
Bayswater,2026-03-01,21.340069717323736
Beaconsfield,2025-04-01,0.0
Beaconsfield,2025-05-01,0.0
Beaconsfield,2025-06-01,0.0
Beaconsfield,2025-07-01,0.0
Beaconsfield,2025-08-01,0.0
Beaconsfield,2025-09-01,0.0
Beaconsfield,2025-10-01,0.0
Beaconsfield,2025-11-01,0.0
Beaconsfield,2025-12-01,0.0
Beaconsfield,2026-01-01,0.0
Beaconsfield,2026-02-01,0.0
Beaconsfield,2026-03-01,0.0
Beam,2025-04-01,5.130795635330799
Beam,2025-05-01,4.505047068801248
Beam,2025-06-01,4.368576738093755
Beam,2025-07-01,4.338813743562735
Beam,2025-08-01,4.332322692805687
Beam,2025-09-01,4.330907050979504
Beam,2025-10-01,4.3305983117853355
Beam,2025-11-01,4.33053097844702
Beam,2025-12-01,4.330516293630403
Beam,2026-01-01,4.330513090999367
Beam,2026-02-01,4.330512392533338
Beam,2026-03-01,4.3305122402039595
Beam Park,2025-04-01,5.648994885513164
Beam Park,2025-05-01,5.374916341083247
Beam Park,2025-06-01,5.589123624456599
Beam Park,2025-07-01,5.617572530293714
Beam Park,2025-08-01,5.52523512859701
Beam Park,2025-09-01,5.543388359062907
Beam Park,2025-10-01,5.5713296012773466
Beam Park,2025-11-01,5.554877508015294
