ward_name,forecast,tier,officers_per_shift,month_num
Manor Park Ward,5.5264034,Low,3,1
Chapel End Ward,5.518274,Low,3,1
St. Ann's Ward,5.50986,Low,3,1
Walham Green Ward,5.508017,Low,3,1
Muswell Hill Ward,5.496274,Low,3,1
Chiswick Riverside Ward,5.4830403,Low,3,1
Colindale North Ward,5.4657245,Low,3,1
Centenary Ward,5.4621987,Low,3,1
Southall Broadway Ward,5.4456296,Low,3,1
Stockwell East Ward,5.4432473,Low,3,1
Plumstead Common Ward,5.4293346,Low,3,1
Cazenove Ward,5.423832,Low,3,1
Hatch Lane & Highams Park North Ward,5.4223986,Low,3,1
Newbury Ward,5.4137044,Low,3,1
Charlton Village & Riverside Ward,5.3969574,Low,3,1
Feltham West Ward,5.360189,Low,3,1
Headstone Ward,5.3594646,Low,3,1
New Malden Village Ward,5.3206787,Low,3,1
Trinity Ward,5.295258,Low,3,1
Chingford Green Ward,5.2825193,Low,3,1
Harold Wood Ward,5.2711587,Low,3,1
Hampton Ward,5.258125,Low,3,1
Kingsbury Ward,5.257114,Low,3,1
Northwood Hills Ward,5.256878,Low,3,1
Hayes & Coney Hall Ward,5.251893,Low,3,1
Becontree Ward,5.250159,Low,3,1
St. George's Ward,5.2449327,Low,3,1
Highfield Ward,5.240374,Low,3,1
Crayford Ward,5.23998,Low,3,1
Hampstead Town Ward,5.2352624,Low,3,1
Barnhill Ward,5.232678,Low,3,1
Preston Ward,5.2190123,Low,3,1
Northbury Ward,5.2138066,Low,3,1
Beddington Ward,5.1947017,Low,3,1
Bowes Ward,5.1918764,Low,3,1
Heston East Ward,5.186799,Low,3,1
Norbury & Pollards Hill Ward,5.1593957,Low,3,1
Elm Park Ward,5.158432,Low,3,1
Wood Street Ward,5.1584263,Low,3,1
Avonmore Ward,5.154911,Low,3,1
Kenton East Ward,5.1508117,Low,3,1
Plaistow Ward,5.1505475,Low,3,1
Grove Green Ward,5.1347136,Low,3,1
Feltham North Ward,5.128962,Low,3,1
Mayfield Ward,5.1195493,Low,3,1
Woolwich Dockyard Ward,5.112959,Low,3,1
Edgwarebury Ward,5.112231,Low,3,1
Gascoigne Ward,5.105897,Low,3,1
St. James Ward,5.1002216,Low,3,1
Notting Dale Ward,5.0860257,Low,3,1
West Twickenham Ward,5.0649548,Low,3,1
Barking Riverside Ward,5.0547194,Low,3,1
Ridgeway Ward,5.049368,Low,3,1
St. Andrew's Ward,5.045671,Low,3,1
Alexandra Park Ward,5.041628,Low,3,1
South Hornchurch Ward,5.0377064,Low,3,1
Bounds Green Ward,5.023719,Low,3,1
Poplar Ward,4.9955587,Low,3,1
Hampton Wick & South Teddington Ward,4.989942,Low,3,1
Frognal Ward,4.988626,Low,3,1
New Addington South Ward,4.9638987,Low,3,1
Limehouse Ward,4.9531875,Low,3,1
Chelsea Riverside Ward,4.9512243,Low,3,1
Grove Ward,4.950948,Low,3,1
Winchmore Hill Ward,4.950155,Low,3,1
Green Street East Ward,4.9500494,Low,3,1
Brentford West Ward,4.949294,Low,3,1
St. Edward's Ward,4.943253,Low,3,1
Underhill Ward,4.929155,Low,3,1
Sidcup Ward,4.912584,Low,3,1
Gipsy Hill Ward,4.910883,Low,3,1
Fairlop Ward,4.907969,Low,3,1
Hylands & Harrow Lodge Ward,4.9068975,Low,3,1
Abbey Ward (E05013810),4.9017477,Low,3,1
Mawneys Ward,4.889734,Low,3,1
Mottingham Ward,4.886869,Low,3,1
Beam Ward,4.881161,Low,3,1
Sands End Ward,4.864525,Low,3,1
Hillingdon East Ward,4.8592324,Low,3,1
Marshalls & Rise Park Ward,4.855207,Low,3,1
Dulwich Hill Ward,4.847508,Low,3,1
Northwood Ward,4.8203444,Low,3,1
Marlborough Ward,4.814566,Low,3,1
Brook Green Ward,4.8144555,Low,3,1
Northwick Park Ward,4.806638,Low,3,1
Coulsdon Town Ward,4.805108,Low,3,1
Addiscombe East Ward,4.7972507,Low,3,1
Teddington Ward,4.7903404,Low,3,1
St. Helen's Ward,4.781992,Low,3,1
Shirley North Ward,4.77762,Low,3,1
Fulwell & Hampton Hill Ward,4.777124,Low,3,1
Shortlands & Park Langley Ward,4.7754703,Low,3,1
Grange Park Ward,4.7733464,Low,3,1
Addison Ward,4.7704797,Low,3,1
Kentish Town North Ward,4.7693963,Low,3,1
Hounslow East Ward,4.762072,Low,3,1
Camden Square Ward,4.7259307,Low,3,1
Cricket Green Ward,4.7123427,Low,3,1
"Ham, Petersham & Richmond Riverside Ward",4.711483,Low,3,1
West Wickham Ward,4.7105894,Low,3,1
Sutton Central Ward,4.7101855,Low,3,1
Upper Walthamstow Ward,4.709636,Low,3,1
Isleworth Ward,4.6683097,Low,3,1
Hounslow South Ward,4.6663485,Low,3,1
Ravenscourt Ward,4.6384454,Low,3,1
Graveney Ward,4.630651,Low,3,1
Upminster Ward,4.61174,Low,3,1
Raynes Park Ward,4.6083074,Low,3,1
Green Street West Ward,4.607724,Low,3,1
Champion Hill Ward,4.601785,Low,3,1
Wallington North Ward,4.5952773,Low,3,1
Seven Kings Ward,4.585827,Low,3,1
Norbury Park Ward,4.5825977,Low,3,1
Charlton Hornfair Ward,4.5669003,Low,3,1
Brownswood Ward,4.560869,Low,3,1
Figge's Marsh Ward,4.551909,Low,3,1
Stamford Hill West Ward,4.54944,Low,3,1
Markhouse Ward,4.5460076,Low,3,1
Wimbledon Town & Dundonald Ward,4.5410304,Low,3,1
Sanderstead Ward,4.539358,Low,3,1
Alibon Ward,4.536231,Low,3,1
Sutton South Ward,4.5358906,Low,3,1
Kidbrooke Park Ward,4.5098906,Low,3,1
Wallington South Ward,4.5024066,Low,3,1
Coombe Hill Ward,4.502157,Low,3,1
Canons Ward,4.4907727,Low,3,1
Peckham Rye Ward,4.471078,Low,3,1
Southfields Ward,4.462574,Low,3,1
Bexleyheath Ward,4.456842,Low,3,1
Wanstead Park Ward,4.452582,Low,3,1
Whitton Ward,4.452162,Low,3,1
Chelsfield Ward,4.4350724,Low,3,1
Wealdstone North Ward,4.399593,Low,3,1
Hanworth Park Ward,4.363707,Low,3,1
Harrow on the Hill Ward,4.3510237,Low,3,1
East Wickham Ward,4.3508162,Low,3,1
